iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.000099554,0.01,4.62,0,0,0,0.4,0.4,5,5,5,0.04619998,3
2,0.00006209,0.01,4.52,0,0,0,0.4,0.4,5,5,5,0.04519998,3
3,0.000057428,0.01,4.64,0,0,0,0.4,0.4,5,5,5,0.046399973,3
4,0.000052314,0.01,4.5733333,0,0,0,0.4,0.4,5,5,5,0.045733314,3
5,0.000043786,0.013333333,4.59,0,0,0,0.4,0.4,5,5,5,0.06119996,4
6,0.00004135,0.013333333,4.545,0,0,0,0.4,0.4,5,5,5,0.06059996,4
7,0.000041646,0.013333333,4.605,0,0,0,0.4,0.4,5,5,5,0.06139996,4
8,0.000058096,0.016666668,4.576,0,0,0,0.4,0.4,5,5,5,0.07626664,5
9,0.000063716,0.016666668,4.6000004,0,0,0,0.4,0.4,5,5,5,0.07666664,5
10,0.00006193,0.016666668,4.5119996,0,0,0,0.4,0.4,5,5,5,0.07519998,5
11,0.00006498,0.02,4.606667,0,0,0,0.4,0.4,5,5,5,0.09213329,6
12,0.00005468,0.02,4.5700006,0,0,0,0.4,0.4,5,5,5,0.091399975,6
13,0.00006083,0.02,4.593333,0,4.6043334,0,0.4,0.4,5,5,5,0.09186664,6
14,0.00005968,0.02,4.58,0,0,0,0.4,0.4,5,5,5,0.09159997,6
15,0.000055028,0.023333333,4.5799994,4.646333,0,0,0.4,0.4,5,5,5,0.10686663,7
16,0.000057152,0.023333333,4.6257143,0,0,0,0.4,0.4,5,5,5,0.107933305,7
17,0.000053074,0.023333333,4.5942845,0,0,0,0.4,0.4,5,5,5,0.107199974,7
18,0.000057468,0.026666665,4.57,4.625,0,0,0.4,0.4,5,5,5,0.12186663,8
19,0.00005676,0.026666665,4.535,0,4.489667,0,0.4,0.4,5,5,5,0.12093332,8
20,0.000053138,0.026666665,4.545,4.505334,0,0,0.4,0.4,5,5,5,0.12119995,8
21,0.00007482,0.030000001,4.4999995,4.5173335,4.464333,0,0.4,0.4,5,5,5,0.13500004,9
22,0.00006859,0.030000001,4.5044446,4.489334,0,4.5266666,0.4,0.4,5,5,5,0.13513336,9
23,0.00006762,0.030000001,4.584444,4.612,4.567667,0,0.4,0.4,5,5,5,0.13753337,9
24,0.00007189,0.030000001,4.5333333,4.500334,4.5426664,4.635667,0.4,0.4,5,5,5,0.13600002,9
25,0.00007498,0.033333335,4.4799995,4.473001,4.479667,0,0.4,0.4,5,5,5,0.14933333,10
26,0.000070208,0.033333335,4.5439997,4.5429997,4.5068097,4.614334,0.4,0.4,5,5,5,0.1514667,10
27,0.000071498,0.033333335,4.528,4.544,4.525,0,0.4,0.4,5,5,5,0.15093333,10
28,0.000074984,0.036666665,4.47091,0,4.456667,4.5329995,0.4,0.4,5,5,5,0.16393332,11
29,0.000073606,0.036666665,4.532728,4.537667,4.503667,0,0.4,0.4,5,5,5,0.16620001,11
30,0.00007507,0.036666665,4.5127273,4.4543333,4.5516663,4.581,0.4,0.4,5,5,5,0.16546665,11
31,0.000072764,0.036666665,4.4509096,0,4.345238,4.644667,0.4,0.4,5,5,5,0.16319999,11
32,0.000074058,0.04,4.4416666,4.410333,4.4149523,4.5273337,0.4,0.4,5,5,5,0.17766666,12
33,0.000076148,0.04,4.558334,4.633333,4.5390716,0,0.4,0.4,5,5,5,0.18233329,12
