iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.002866066,0.01,4.6066656,0,0,0,0.4,0.4,5,5,5,0.046066657,3
2,0.00272344,0.01,4.596666,0,0,0,0.4,0.4,5,5,5,0.045966655,3
3,0.002829643,0.01,4.616665,0,0,0,0.4,0.4,5,5,5,0.046166644,3
4,0.002847161,0.01,4.606666,0,0,0,0.4,0.4,5,5,5,0.046066657,3
5,0.002679166,0.013333333,4.6125,0,0,0,0.4,0.4,5,5,5,0.06149999,4
6,0.002587183,0.013333333,4.6225,0,0,0,0.4,0.4,5,5,5,0.061633326,4
7,0.002554557,0.013333333,4.61,0,0,0,0.4,0.4,5,5,5,0.06146665,4
8,0.004034734,0.016666668,4.6159997,0,4.6183333,0,0.4,0.4,5,5,5,0.07693335,5
9,0.004101587,0.016666668,4.588,0,0,0,0.4,0.4,5,5,5,0.07646668,5
10,0.004119372,0.016666668,4.615999,0,4.645,0,0.4,0.4,5,5,5,0.07693334,5
11,0.004709368,0.02,4.589999,4.585833,4.6239996,0,0.4,0.4,5,5,5,0.09179998,6
12,0.004596151,0.02,4.5816665,0,0,0,0.4,0.4,5,5,5,0.09163333,6
13,0.004669367,0.02,4.59,0,0,0,0.4,0.4,5,5,5,0.0918,6
14,0.00481901,0.02,4.5566673,0,4.5776663,0,0.4,0.4,5,5,5,0.09113335,6
15,0.004866737,0.023333333,4.590002,0,4.5366664,0,0.4,0.4,5,5,5,0.107099965,7
16,0.004910867,0.023333333,4.597144,4.6541667,4.583333,0,0.4,0.4,5,5,5,0.107266665,7
17,0.004895924,0.023333333,4.6000013,0,4.632,0,0.4,0.4,5,5,5,0.10733332,7
18,0.005166007,0.026666665,4.58625,4.600166,4.5505004,0,0.4,0.4,5,5,5,0.122299984,8
19,0.00512288,0.026666665,4.6025,4.661499,4.5638328,0,0.4,0.4,5,5,5,0.12273331,8
20,0.005097461,0.026666665,4.5975,4.6101665,4.6168327,4.5695,0.4,0.4,5,5,5,0.122599974,8
21,0.006640457,0.030000001,4.5944424,4.603667,4.5984993,4.5863333,0.4,0.4,5,5,5,0.13783334,9
22,0.006621582,0.030000001,4.5699987,4.5394998,4.5936656,4.588333,0.4,0.4,5,5,5,0.13710003,9
23,0.006710214,0.030000001,4.5722213,4.5860004,4.544833,4.5683336,0.4,0.4,5,5,5,0.13716666,9
24,0.006627608,0.030000001,4.5799994,4.5849996,4.5819993,0,0.4,0.4,5,5,5,0.13739997,9
25,0.007200937,0.033333335,4.604002,4.594332,4.6214995,4.6141667,0.4,0.4,5,5,5,0.15346667,10
26,0.007343386,0.033333335,4.6000013,4.613832,4.6178327,4.572333,0.4,0.4,5,5,5,0.15333334,10
27,0.007209597,0.033333335,4.578,4.5478334,4.5655484,4.6365004,0.4,0.4,5,5,5,0.15259999,10
28,0.007637447,0.036666665,4.6109085,4.617833,4.5559993,4.6753325,0.4,0.4,5,5,5,0.16906662,11
29,0.007565485,0.036666665,4.590908,4.5513334,4.6120005,0,0.4,0.4,5,5,5,0.16833334,11
30,0.007643601,0.036666665,4.60818,4.6343327,4.575333,4.626499,0.4,0.4,5,5,5,0.16896664,11
31,0.007607034,0.036666665,4.599089,4.6083336,4.6191664,4.571,0.4,0.4,5,5,5,0.16863333,11
32,0.007813435,0.04,4.5841656,4.5663333,4.608666,4.5636663,0.4,0.4,5,5,5,0.18336663,12
