iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.004642678,0.29999998,2.8166666,2.7343674,2.7420228,3.0248594,0.4,0.01,5,5,5,0.845,90
2,0.004624118,0.29999998,2.7582223,2.6418164,2.6844332,3.0095208,0.4,0.011,5,5,5,0.8274667,90
3,0.004583635,0.29999998,2.765333,2.5872653,2.7490408,3.020948,0.4,0.012,5,5,5,0.8296,90
4,0.004681524,0.29999998,2.687111,2.581311,2.5718255,2.9891086,0.4,0.013,5,5,5,0.8061333,90
5,0.004596793,0.29999998,2.7395554,2.6726017,2.6362672,2.9828348,0.4,0.014,5,5,5,0.82186663,90
6,0.004565223,0.29999998,2.6755555,2.5453594,2.5969148,2.9704325,0.4,0.015000001,5,5,5,0.8026667,90
7,0.004579661,0.29999998,2.6760004,2.6019397,2.5893545,2.9190922,0.4,0.016,5,5,5,0.8028,90
8,0.004598275,0.29999998,2.6815555,2.599495,2.6527076,2.8255594,0.4,0.017,5,5,5,0.8044668,90
9,0.004681923,0.29999998,2.6302218,2.600855,2.5262575,2.8310041,0.4,0.018000001,5,5,5,0.7890666,90
10,0.004586066,0.29999998,2.6026666,2.5186262,2.4907126,2.865848,0.4,0.019000001,5,5,5,0.78080004,90
11,0.004835568,0.29999998,2.5511112,2.4670653,2.423778,2.8285608,0.4,0.020000001,5,5,5,0.76533324,90
12,0.004847385,0.29999998,2.5884442,2.5041733,2.5149484,2.8065984,0.4,0.021000002,5,5,5,0.77653337,90
13,0.004650186,0.29999998,2.5468888,2.4428327,2.5611997,2.6991425,0.4,0.022000002,5,5,5,0.76406646,90
14,0.004706046,0.29999998,2.515556,2.3677056,2.4661272,2.7939641,0.4,0.023000002,5,5,5,0.7546665,90
15,0.004691332,0.29999998,2.537111,2.4470212,2.4629629,2.769745,0.4,0.024000002,5,5,5,0.7611332,90
16,0.00471622,0.29999998,2.5213332,2.3766584,2.4841344,2.7818356,0.4,0.025000002,5,5,5,0.7564,90
17,0.004631594,0.29999998,2.4839997,2.4364302,2.384658,2.7077954,0.4,0.026000002,5,5,5,0.7451999,90
18,0.004688142,0.29999998,2.4957774,2.371969,2.4042475,2.8057415,0.4,0.027000003,5,5,5,0.7487333,90
19,0.004678902,0.29999998,2.4948885,2.3464222,2.49817,2.7039003,0.4,0.028000003,5,5,5,0.74846673,90
20,0.004698494,0.29999998,2.467778,2.3371172,2.4228878,2.711924,0.4,0.029000003,5,5,5,0.7403333,90
21,0.004682024,0.29999998,2.4786663,2.411671,2.348274,2.7627745,0.4,0.030000003,5,5,5,0.74359995,90
22,0.004672312,0.29999998,2.4206665,2.3029454,2.3653028,2.6499152,0.4,0.031000003,5,5,5,0.72619987,90
23,0.004748791,0.29999998,2.4131112,2.247453,2.368161,2.6986053,0.4,0.032,5,5,5,0.7239334,90
24,0.004664193,0.29999998,2.4104443,2.2885838,2.397637,2.603958,0.4,0.033,5,5,5,0.7231333,90
25,0.004688159,0.29999998,2.4277773,2.332329,2.374997,2.6801543,0.4,0.033999998,5,5,5,0.72833323,90
26,0.004667551,0.29999998,2.3824444,2.2316782,2.3319018,2.6502993,0.4,0.034999996,5,5,5,0.7147333,90
27,0.004737181,0.29999998,2.3988886,2.3080432,2.338298,2.614173,0.4,0.035999995,5,5,5,0.71966654,90
28,0.004596869,0.29999998,2.3702216,2.2847495,2.2754488,2.6214426,0.4,0.036999993,5,5,5,0.71106666,90
29,0.004725967,0.29999998,2.3435557,2.2649136,2.2895138,2.5374064,0.4,0.03799999,5,5,5,0.7030666,90
30,0.004732241,0.29999998,2.350222,2.2712512,2.267225,2.5911927,0.4,0.03899999,5,5,5,0.7050666,90
31,0.004750448,0.29999998,2.3651114,2.2280736,2.284909,2.688517,0.4,0.039999988,5,5,5,0.70953315,90
32,0.004644554,0.29999998,2.3835554,2.2919095,2.3258893,2.590904,0.4,0.040999986,5,5,5,0.71506655,90
33,0.004601652,0.29999998,2.3455555,2.1957285,2.2726483,2.6401827,0.4,0.041999985,5,5,5,0.70366687,90
34,0.004705887,0.29999998,2.3508892,2.2333937,2.3136272,2.5692782,0.4,0.042999983,5,5,5,0.70526665,90
35,0.004592006,0.29999998,2.2817776,2.1535423,2.2105513,2.5555813,0.4,0.04399998,5,5,5,0.68453324,90
36,0.004708237,0.29999998,2.3064442,2.192891,2.2388783,2.5825968,0.4,0.04499998,5,5,5,0.6919334,90
