iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.05463981,0.01,4.62,0,4.633333,0,0.6,0.4,3,5,5,0.04619998,3
2,0.051961496,0.01,4.6000004,0,4.6566668,0,0.6,0.4,3,5,5,0.04599998,3
3,0.044546396,0.013333333,4.6,0,4.613333,0,0.6,0.4,3,5,5,0.061333295,4
4,0.068759,0.02,4.5600004,0,4.5556674,4.560666,0.6,0.4,3,5,5,0.09119997,6
5,0.0660583,0.023333333,4.5542855,0,4.565334,4.541667,0.6,0.4,3,5,5,0.10626665,7
6,0.0669833,0.026666665,4.6375,0,4.657667,4.616,0.6,0.4,3,5,5,0.12366666,8
7,0.0801453,0.030000001,4.5911117,0,4.6016674,4.605333,0.6,0.4,3,5,5,0.13773334,9
8,0.08970909,0.033333335,4.5620003,0,4.591666,4.5383334,0.6,0.4,3,5,5,0.15206666,10
9,0.09276959,0.036666665,4.592728,0,4.6079288,4.591572,0.6,0.4,3,5,5,0.16839999,11
10,0.09397869,0.04,4.605,0,4.579452,4.6439533,0.6,0.4,3,5,5,0.18419999,12
11,0.0954642,0.043333333,4.581538,0,4.5657377,4.5908337,0.6,0.4,3,5,5,0.19853328,13
12,0.10059661,0.046666667,4.5285716,0,4.5045958,4.569738,0.6,0.4,3,5,5,0.21133329,14
13,0.099217616,0.05,4.5453343,0,4.5383573,4.573889,0.6,0.4,3,5,5,0.22726661,15
14,0.10087161,0.05333333,4.4325,0,4.387151,4.4995866,0.6,0.4,3,5,5,0.23639992,16
15,0.11390919,0.05666667,4.4858828,0,4.4927936,4.5198812,0.6,0.4,3,5,5,0.25420004,17
16,0.1246205,0.060000002,4.4244447,0,4.4580836,4.4559126,0.6,0.4,3,5,5,0.26546672,18
17,0.12981342,0.06333333,4.3378944,0,4.369322,4.4136457,0.6,0.4,3,5,5,0.27473336,19
18,0.127932,0.06666667,4.1679997,0,4.1520963,4.332665,0.6,0.4,3,5,5,0.27786675,20
19,0.13203762,0.07,4.03238,0,3.9767053,4.34098,0.6,0.4,3,5,5,0.28226674,21
20,0.14293274,0.07333333,4.0127273,0,4.049818,4.1710434,0.6,0.4,3,5,5,0.29426667,22
21,0.14936589,0.07333333,3.9799993,0,3.9851606,4.2070227,0.6,0.4,3,5,5,0.29186666,22
22,0.14665793,0.07666667,3.8278267,0,3.7484832,4.1361103,0.6,0.4,3,5,5,0.29346666,23
23,0.1438036,0.08,3.7833335,0,3.8171525,4.110567,0.6,0.4,3,5,5,0.3026667,24
24,0.14491948,0.083333336,3.5544,0,3.4058096,4.0565543,0.6,0.4,3,5,5,0.29620004,25
25,0.1520955,0.086666666,3.516923,0,3.5198524,3.861522,0.6,0.4,3,5,5,0.30480006,26
26,0.15619253,0.09,3.4303699,0,3.383703,3.8496346,0.6,0.4,3,5,5,0.3087334,27
