iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.046504103,0.01,4.1533327,4.15,0,0,1,0.8,5,3,5,0.041533317,3
2,0.044550706,0.01,4.1933327,0,0,0,1,0.8,5,3,5,0.041933317,3
3,0.036209714,0.013333333,4.15,4.1566668,0,0,1,0.8,5,3,5,0.055333305,4
4,0.0550411,0.02,4.176667,4.200667,0,4.1383333,1,0.8,5,3,5,0.08353331,6
5,0.053809397,0.023333333,4.211428,4.2217617,0,0,1,0.8,5,3,5,0.098266646,7
6,0.052492496,0.026666665,4.1725,4.145666,0,4.1863327,1,0.8,5,3,5,0.11126664,8
7,0.071765594,0.030000001,4.2422237,4.2295713,0,4.2601905,1,0.8,5,3,5,0.12726668,9
8,0.0732192,0.033333335,4.1819997,4.186571,0,4.185857,1,0.8,5,3,5,0.13940002,10
9,0.0765331,0.036666665,4.1563635,4.1426663,0,4.191833,1,0.8,5,3,5,0.1524,11
10,0.0776928,0.04,4.1333337,4.144024,0,4.1365943,1,0.8,5,3,5,0.16533332,12
11,0.07890031,0.043333333,4.0692306,4.1065,0,4.047762,1,0.8,5,3,5,0.17633334,13
12,0.0843868,0.046666667,3.8828573,3.8882458,0,3.9232142,1,0.8,5,3,5,0.18119998,14
13,0.08623451,0.05,3.802667,3.8244922,0,3.823397,1,0.8,5,3,5,0.19013329,15
14,0.09202369,0.05333333,3.58875,3.582719,0,3.6723974,1,0.8,5,3,5,0.19139999,16
15,0.09708631,0.05666667,3.4694118,3.4938607,0,3.583182,1,0.8,5,3,5,0.1966,17
16,0.101960085,0.060000002,3.2966669,3.3778956,0,3.3525772,1,0.8,5,3,5,0.19780001,18
17,0.103015795,0.06333333,3.2042108,3.2336164,0,3.2978604,1,0.8,5,3,5,0.20293331,19
18,0.10299562,0.06666667,3.1110003,3.1707473,0,3.1921694,1,0.8,5,3,5,0.2074,20
19,0.10695961,0.07,2.9771433,3.0329673,0,3.132128,1,0.8,5,3,5,0.20839997,21
20,0.11054229,0.07333333,2.9072733,2.9134474,0,3.1049569,1,0.8,5,3,5,0.21319996,22
21,0.123660795,0.07333333,2.8181825,2.821662,0,2.9854565,1,0.8,5,3,5,0.2066666,22
22,0.11334462,0.07666667,2.8130436,2.8925657,0,2.9181674,1,0.8,5,3,5,0.21566658,23
