iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.051694404,0.01,4.5533333,0,0,0,0.4,0.4,5,5,5,0.04553331,3
2,0.049614698,0.01,4.606666,0,0,0,0.4,0.4,5,5,5,0.046066646,3
3,0.045957897,0.013333333,4.585,0,0,0,0.4,0.4,5,5,5,0.061133295,4
4,0.064482495,0.02,4.6499996,0,0,0,0.4,0.4,5,5,5,0.092999965,6
5,0.062236905,0.023333333,4.6371427,4.663333,0,4.691667,0.4,0.4,5,5,5,0.108199984,7
6,0.0613628,0.026666665,4.6475,4.638001,4.693333,0,0.4,0.4,5,5,5,0.12393331,8
7,0.077766195,0.030000001,4.5911117,4.5766664,4.6053333,4.590334,0.4,0.4,5,5,5,0.13773337,9
8,0.0826713,0.033333335,4.600001,4.607333,4.588333,4.615,0.4,0.4,5,5,5,0.15333332,10
9,0.0890633,0.036666665,4.6000004,4.590667,4.5729995,4.6283336,0.4,0.4,5,5,5,0.16866665,11
10,0.090767086,0.04,4.5500007,4.5703335,4.5056663,4.6053333,0.4,0.4,5,5,5,0.18200001,12
11,0.09505448,0.043333333,4.5953846,4.624,4.5797153,0,0.4,0.4,5,5,5,0.19913328,13
12,0.0965441,0.046666667,4.6285706,4.5779533,4.656714,4.6523347,0.4,0.4,5,5,5,0.21599999,14
13,0.105103694,0.05,4.624001,4.627952,4.603691,4.658,0.4,0.4,5,5,5,0.23119995,15
14,0.1049144,0.05333333,4.565,4.569334,4.586762,4.55,0.4,0.4,5,5,5,0.24346659,16
15,0.11541401,0.05666667,4.5258822,4.546929,4.510834,4.5216665,0.4,0.4,5,5,5,0.25646672,17
16,0.11539589,0.060000002,4.55,4.5373807,4.565357,4.556572,0.4,0.4,5,5,5,0.27300003,18
17,0.119384505,0.06333333,4.518947,4.5373416,4.5139046,4.508143,0.4,0.4,5,5,5,0.28620002,19
18,0.12143001,0.06666667,4.566,4.5290236,4.5586185,4.6271434,0.4,0.4,5,5,5,0.30440006,20
19,0.1275769,0.07,4.548572,4.532016,4.5631747,4.553476,0.4,0.4,5,5,5,0.31840008,21
20,0.12337752,0.07333333,4.5136366,4.4950395,4.533579,4.526238,0.4,0.4,5,5,5,0.33100006,22
21,0.12646212,0.07333333,4.5263643,4.527865,4.570952,4.487294,0.4,0.4,5,5,5,0.33193338,22
22,0.1273188,0.07666667,4.502609,4.3936663,4.558603,4.5700393,0.4,0.4,5,5,5,0.34519997,23
23,0.15334757,0.08,4.429167,4.3895206,4.421109,4.5063252,0.4,0.4,5,5,5,0.3543333,24
24,0.1420124,0.083333336,4.4272003,4.4079595,4.3949304,4.514944,0.4,0.4,5,5,5,0.3689333,25
25,0.14003447,0.086666666,4.4023075,4.3948917,4.3531895,4.488,0.4,0.4,5,5,5,0.38153327,26
26,0.14249901,0.09,4.2459254,4.126756,4.284164,4.366786,0.4,0.4,5,5,5,0.38213333,27
27,0.1432697,0.093333334,4.165,4.024246,4.1024756,4.4371004,0.4,0.4,5,5,5,0.3887333,28
28,0.15406533,0.096666664,4.0248284,3.8790765,4.0067725,4.2803483,0.4,0.4,5,5,5,0.38906667,29
29,0.15909198,0.1,3.9986668,4.0007215,3.8146515,4.23819,0.4,0.4,5,5,5,0.39986664,30
30,0.15165742,0.10333333,3.8025804,3.6891155,3.619086,4.1690087,0.4,0.4,5,5,5,0.39293328,31
31,0.17236541,0.10666666,3.6275,3.4787555,3.5550857,3.9316113,0.4,0.4,5,5,5,0.38693333,32
32,0.16717,0.11000001,3.6812122,3.51947,3.5578284,4.064987,0.4,0.4,5,5,5,0.40493333,33
33,0.18192726,0.11333334,3.5258825,3.5654886,3.2398322,3.8974497,0.4,0.4,5,5,5,0.3996,34
34,0.18182318,0.11666667,3.3662858,3.2436237,3.2661994,3.721571,0.4,0.4,5,5,5,0.3927333,35
35,0.18040128,0.120000005,3.4077773,3.269584,3.3598418,3.699561,0.4,0.4,5,5,5,0.40893328,36
36,0.18895607,0.123333335,3.2940543,3.1528444,3.1030798,3.7952583,0.4,0.4,5,5,5,0.40626666,37
37,0.18808973,0.12666667,3.1563158,3.014527,3.0202262,3.5899482,0.4,0.4,5,5,5,0.39979994,38
38,0.1991541,0.13,3.0174356,2.905339,2.8735502,3.4378746,0.4,0.4,5,5,5,0.3922667,39
39,0.2006828,0.13333334,2.9384997,2.7647378,2.8324964,3.4181015,0.4,0.4,5,5,5,0.39180002,40
40,0.20159188,0.13666667,2.9204879,2.794082,2.7499087,3.3744717,0.4,0.4,5,5,5,0.39913332,41
41,0.21346718,0.14,2.76,2.529793,2.7741346,3.1466238,0.4,0.4,5,5,5,0.38640004,42
42,0.22056979,0.14333333,2.7079067,2.6614413,2.518529,3.0916364,0.4,0.4,5,5,5,0.38813332,43
43,0.24112558,0.14666666,2.701818,2.4722393,2.570636,3.2130811,0.4,0.4,5,5,5,0.39626658,44
44,0.2449257,0.14999999,2.6115556,2.3679807,2.5280128,3.1162827,0.4,0.4,5,5,5,0.39173326,45
45,0.24870443,0.15333334,2.5478258,2.3895435,2.3891242,3.0176635,0.4,0.4,5,5,5,0.39066666,46
46,0.26116773,0.15666667,2.496596,2.2667856,2.40175,2.9622195,0.4,0.4,5,5,5,0.3911333,47
47,0.2562226,0.16,2.4770832,2.3457315,2.2638445,2.962566,0.4,0.4,5,5,5,0.39633334,48
48,0.26098216,0.16333334,2.375102,2.334491,2.1691027,2.747744,0.4,0.4,5,5,5,0.38793334,49
49,0.2682776,0.16666667,2.288,2.1443186,2.1871018,2.6757975,0.4,0.4,5,5,5,0.38133338,50
50,0.2823117,0.17,2.2831373,2.1281793,2.1686904,2.678602,0.4,0.4,5,5,5,0.38813335,51
51,0.2924973,0.17333333,2.2757692,2.145756,2.129694,2.6681542,0.4,0.4,5,5,5,0.39446664,52
52,0.30227184,0.17666666,2.2090561,2.1575844,2.0979528,2.4978013,0.4,0.4,5,5,5,0.3902667,53
53,0.32425758,0.18,2.195926,2.0584843,2.102986,2.51866,0.4,0.4,5,5,5,0.39526665,54
54,0.33521426,0.18333334,2.1163638,2.0246916,1.9557831,2.5298567,0.4,0.4,5,5,5,0.38799995,55
55,0.3461265,0.18666667,2.0721428,2.0009518,1.9651303,2.3419878,0.4,0.4,5,5,5,0.38680005,56
56,0.3344238,0.19,2.0652633,1.885249,2.007562,2.4510417,0.4,0.4,5,5,5,0.39239997,57
57,0.36835504,0.19333333,2.0462065,1.9268059,1.8954742,2.464361,0.4,0.4,5,5,5,0.39559993,58
58,0.37640682,0.19666666,1.9440678,1.8912456,1.769973,2.300575,0.4,0.4,5,5,5,0.38233334,59
59,0.3861452,0.2,2.0109997,1.898437,1.9003764,2.3483596,0.4,0.4,5,5,5,0.40219992,60
60,0.38819173,0.20333333,1.9622954,1.9017324,1.7836651,2.3391836,0.4,0.4,5,5,5,0.39900005,61
61,0.39771068,0.20666666,1.8422583,1.6770701,1.7408192,2.203716,0.4,0.4,5,5,5,0.38073334,62
62,0.40752628,0.21,1.847619,1.7223183,1.741526,2.1863346,0.4,0.4,5,5,5,0.38799995,63
63,0.4310181,0.21333332,1.8365625,1.7134864,1.6965142,2.2241895,0.4,0.4,5,5,5,0.39180002,64
64,0.44690132,0.21666665,1.7689233,1.603907,1.7142147,2.102973,0.4,0.4,5,5,5,0.38326663,65
65,0.4449017,0.22000001,1.7245455,1.645168,1.5541444,2.1162071,0.4,0.4,5,5,5,0.37939999,66
66,0.4622593,0.22333334,1.7226866,1.5915021,1.6634705,1.9944714,0.4,0.4,5,5,5,0.38473332,67
67,0.5068873,0.22666667,1.7029412,1.5372125,1.6478584,2.043422,0.4,0.4,5,5,5,0.38599998,68
68,0.4931536,0.23,1.68087,1.548427,1.6033869,1.9854108,0.4,0.4,5,5,5,0.38659993,69
69,0.48603216,0.23333333,1.6397144,1.5073351,1.5566163,1.9595951,0.4,0.4,5,5,5,0.38260007,70
70,0.49794385,0.23666666,1.6876054,1.5327705,1.5978732,2.0588698,0.4,0.4,5,5,5,0.3994,71
71,0.5381915,0.24000001,1.5944444,1.4699801,1.5193889,1.8990314,0.4,0.4,5,5,5,0.3826666,72
72,0.5422149,0.24333334,1.5482193,1.4324062,1.4100842,1.8946524,0.4,0.4,5,5,5,0.37673333,73
73,0.55583686,0.24666667,1.5505406,1.4553244,1.4094856,1.8798348,0.4,0.4,5,5,5,0.38246667,74
74,0.562959,0.25,1.5448003,1.3949715,1.488377,1.8645369,0.4,0.4,5,5,5,0.38620007,75
75,0.5988626,0.25333333,1.4805263,1.3917712,1.3789946,1.7636657,0.4,0.4,5,5,5,0.37506664,76
76,0.5818461,0.25666666,1.4919479,1.3755704,1.4350247,1.7386618,0.4,0.4,5,5,5,0.38293326,77
77,0.59079725,0.26,1.4689745,1.4133519,1.4380634,1.6301891,0.4,0.4,5,5,5,0.38193336,78
78,0.5945665,0.26333335,1.4265825,1.3126063,1.3239406,1.739014,0.4,0.4,5,5,5,0.37566662,79
79,0.61179453,0.26666668,1.413,1.3091667,1.3420818,1.6649272,0.4,0.4,5,5,5,0.3768,80
80,0.6286825,0.27,1.3967899,1.2971475,1.3306546,1.6486518,0.4,0.4,5,5,5,0.37713337,81
81,0.63182586,0.27333334,1.3634146,1.2482059,1.2753708,1.6585649,0.4,0.4,5,5,5,0.37266672,82
82,0.6482249,0.27666667,1.3561444,1.2281424,1.2878554,1.6447487,0.4,0.4,5,5,5,0.3752,83
83,0.6719541,0.28,1.3078572,1.2426741,1.2417202,1.5109655,0.4,0.4,5,5,5,0.3662,84
84,0.6987423,0.28333333,1.2814119,1.2090473,1.1819545,1.5259548,0.4,0.4,5,5,5,0.3630667,85
85,0.7084009,0.28666666,1.3037208,1.2304405,1.2487715,1.5124526,0.4,0.4,5,5,5,0.37373325,86
86,0.7012302,0.29,1.2809197,1.1809316,1.2072916,1.539022,0.4,0.4,5,5,5,0.37146664,87
87,0.7217524,0.29333332,1.2168182,1.1201397,1.132791,1.4728125,0.4,0.4,5,5,5,0.35693344,88
88,0.7476987,0.29666665,1.2242697,1.1379652,1.1280476,1.50263,0.4,0.4,5,5,5,0.36319995,89
89,0.7416743,0.29999998,1.2326665,1.116687,1.1237746,1.5714072,0.4,0.4,5,5,5,0.36980003,90
90,0.7725331,0.30333334,1.21011,1.1474929,1.1347297,1.4131675,0.4,0.4,5,5,5,0.36706662,91
91,0.8001362,0.30666667,1.1991303,1.1157855,1.121074,1.4290968,0.4,0.4,5,5,5,0.3677333,92
92,0.8054657,0.31,1.1634408,1.0781293,1.1015295,1.3667356,0.4,0.4,5,5,5,0.36066663,93
93,0.7985855,0.31333333,1.1542554,1.0317868,1.108952,1.3824724,0.4,0.4,5,5,5,0.3616667,94
94,0.82276106,0.31666666,1.1408421,1.0435829,1.1138004,1.324989,0.4,0.4,5,5,5,0.36126664,95
95,0.831417,0.32,1.1245832,1.0362362,1.1039064,1.2833725,0.4,0.4,5,5,5,0.35986668,96
96,0.8207509,0.32333335,1.1111342,1.0426041,1.0629678,1.2920092,0.4,0.4,5,5,5,0.35926667,97
