iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.0071588,0.01,4.6666665,0,0,0,0.8,0.4,5,5,5,0.046666667,3
2,0.0051136,0.01,4.633333,0,4.6,0,0.8,0.4,5,5,5,0.04633333,3
3,0.0055897,0.013333333,4.625,0,0,0,0.8,0.4,5,5,5,0.061666667,4
4,0.0075082,0.02,4.5666666,4.633333,4.5666666,4.6666665,0.8,0.4,5,5,5,0.091333315,6
5,0.010147001,0.023333333,4.5714293,4.6583333,4.616667,4.516667,0.8,0.4,5,5,5,0.10666667,7
6,0.008013099,0.026666665,4.65,4.666667,4.5249996,4.758333,0.8,0.4,5,5,5,0.124,8
7,0.011986099,0.030000001,4.5888886,4.458333,4.661667,4.7083335,0.8,0.4,5,5,5,0.13766667,9
8,0.014665,0.033333335,4.59,4.5716662,4.5183334,4.658334,0.8,0.4,5,5,5,0.15299998,10
9,0.013552501,0.036666665,4.5545454,4.5166674,4.6966662,4.4249997,0.8,0.4,5,5,5,0.16699997,11
10,0.0147874,0.04,4.5916667,4.561667,4.626667,4.55,0.8,0.4,5,5,5,0.18366665,12
11,0.016097499,0.043333333,4.5692306,4.578334,4.5464287,4.55,0.8,0.4,5,5,5,0.19800003,13
12,0.0174782,0.046666667,4.6285715,4.653333,4.606667,4.585,0.8,0.4,5,5,5,0.216,14
13,0.0153782,0.05,4.56,4.606667,4.5175,4.5616665,0.8,0.4,5,5,5,0.22800002,15
14,0.0167779,0.05333333,4.66875,4.6926193,4.626667,4.675,0.8,0.4,5,5,5,0.249,16
15,0.0185721,0.05666667,4.5823526,4.4921427,4.6327386,4.6266665,0.8,0.4,5,5,5,0.25966665,17
16,0.018224202,0.060000002,4.538889,4.592738,4.5280952,4.5114284,0.8,0.4,5,5,5,0.27233332,18
17,0.0183059,0.06333333,4.552632,4.5,4.587976,4.540476,0.8,0.4,5,5,5,0.28833333,19
18,0.0186887,0.06666667,4.575,4.5944448,4.5839286,4.527143,0.8,0.4,5,5,5,0.305,20
19,0.0219529,0.07,4.547619,4.5285316,4.5136905,4.6349993,0.8,0.4,5,5,5,0.3183333,21
20,0.0222298,0.07333333,4.527272,4.447619,4.540621,4.6099997,0.8,0.4,5,5,5,0.33199996,22
21,0.019933,0.07333333,4.613637,4.641667,4.5940475,4.608572,0.8,0.4,5,5,5,0.33833328,22
22,0.022849102,0.07666667,4.547826,4.526389,4.651151,4.4621425,0.8,0.4,5,5,5,0.34866667,23
23,0.023015402,0.08,4.5625,4.491309,4.643294,4.574881,0.8,0.4,5,5,5,0.36499995,24
24,0.0231255,0.083333336,4.4759994,4.4738092,4.4398413,4.5071425,0.8,0.4,5,5,5,0.373,25
25,0.0226185,0.086666666,4.4307694,4.302129,4.524167,4.4975395,0.8,0.4,5,5,5,0.384,26
26,0.0290303,0.09,4.4666667,4.322828,4.565,4.551587,0.8,0.4,5,5,5,0.40200004,27
27,0.027620498,0.093333334,4.3964286,4.4045343,4.313683,4.530357,0.8,0.4,5,5,5,0.4103334,28
28,0.0313232,0.096666664,4.182759,3.975808,4.162716,4.491071,0.8,0.4,5,5,5,0.4043333,29
29,0.0308379,0.1,4.3066664,4.264596,4.240851,4.474881,0.8,0.4,5,5,5,0.4306667,30
30,0.03359,0.10333333,4.096774,3.8253627,4.1812124,4.379921,0.8,0.4,5,5,5,0.42333332,31
31,0.032198,0.10666666,3.746875,3.3883514,3.7103188,4.2714896,0.8,0.4,5,5,5,0.3996667,32
32,0.0358828,0.11000001,3.9393935,3.6043403,3.88223,4.434473,0.8,0.4,5,5,5,0.43333334,33
33,0.034513,0.11333334,3.7470589,3.6697185,3.721297,3.8999496,0.8,0.4,5,5,5,0.4246667,34
34,0.0345437,0.11666667,3.5771432,3.4085414,3.5888278,3.8051803,0.8,0.4,5,5,5,0.41733336,35
35,0.0363754,0.120000005,3.225,3.025354,3.2999768,3.4385352,0.8,0.4,5,5,5,0.38700002,36
36,0.037255295,0.123333335,3.3405404,3.4240844,3.154536,3.5803535,0.8,0.4,5,5,5,0.412,37
37,0.037654694,0.12666667,3.305263,2.9971108,3.3366783,3.6576602,0.8,0.4,5,5,5,0.4186667,38
38,0.037469298,0.13,3.1794872,2.9123378,3.1573625,3.7033584,0.8,0.4,5,5,5,0.41333333,39
39,0.0409097,0.13333334,3.1475,2.946795,3.132185,3.5309882,0.8,0.4,5,5,5,0.4196667,40
