iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.4126519,0.9,6.288889,5.1,6.1025643,7.290323,0.5,0,9,9,9,0.6288889,90
2,0.446149,0.9,3.8777778,3.607143,4.173913,3.897436,0.5,0.0005,9,9,9,0.38777778,90
3,0.5103232,0.9,3.2777777,3.2580645,3.8636363,2.945946,0.5,0.001,9,9,9,0.32777777,90
4,0.5007381,0.9,3.9,4.28125,2.892857,4.4333334,0.5,0.0015,9,9,9,0.39,90
5,0.4542861,0.9,2.788889,3.054054,2.7407408,2.4615386,0.5,0.002,9,9,9,0.2788889,90
6,0.489842,0.9,3.3555555,3.2916667,2.945946,3.9310346,0.5,0.0025,9,9,9,0.33555555,90
7,0.44108197,0.9,3.1777778,3.451613,3.387097,2.642857,0.5,0.003,9,9,9,0.31777775,90
8,0.46022758,0.9,3.588889,3.71875,3.4117646,3.6666667,0.5,0.0035,9,9,9,0.3588889,90
9,0.4563818,0.9,2.511111,2.2580645,2.2903225,3.0357144,0.5,0.004,9,9,9,0.2511111,90
10,0.4454276,0.9,2.8222222,2.642857,3.096774,2.7096775,0.5,0.0045,9,9,9,0.2822222,90
11,0.4294212,0.9,3.3888888,4.142857,2.4857142,3.7777777,0.5,0.005,9,9,9,0.33888885,90
12,0.4260051,0.9,2.4222221,2.3714285,2.5925925,2.3214285,0.5,0.0055,9,9,9,0.24222222,90
13,0.4652947,0.9,3.1222222,3.3913043,2.7837837,3.3333333,0.5,0.006,9,9,9,0.3122222,90
14,0.4298392,0.9,2.8888888,2.8387096,2.6774194,3.1785715,0.5,0.0065,9,9,9,0.28888887,90
15,0.4327807,0.9,2.588889,2.8148148,1.8108108,3.4615386,0.5,0.007,9,9,9,0.25888887,90
16,0.42275962,0.9,2.8555555,2.8965516,2.5675676,3.25,0.5,0.0075,9,9,9,0.28555554,90
17,0.4607609,0.9,2.788889,2.5,3.2857144,2.642857,0.5,0.008,9,9,9,0.2788889,90
18,0.4634973,0.9,3.088889,2.9705882,2.9,3.4615386,0.5,0.0085,9,9,9,0.30888888,90
19,0.4407756,0.9,3.211111,3.419355,2.6969697,3.6153846,0.5,0.009000001,9,9,9,0.3211111,90
20,0.427384,0.9,3.011111,3.6785715,2.2727273,3.2068965,0.5,0.009500001,9,9,9,0.3011111,90
21,0.43414453,0.9,2.8777778,2.6764705,2.9666667,3.0384614,0.5,0.010000001,9,9,9,0.28777775,90
22,0.4454767,0.9,3.0555556,2.7575758,2.9375,3.6,0.5,0.010500001,9,9,9,0.30555555,90
23,0.4537079,0.9,2.8333333,2.862069,3.2333333,2.419355,0.5,0.011000001,9,9,9,0.28333333,90
24,0.47739962,0.9,2.6888888,2.5151515,2.6857142,2.9545455,0.5,0.011500001,9,9,9,0.26888886,90
25,0.43446258,0.9,2.3,1.9428571,1.8947369,3.9411764,0.5,0.012,9,9,9,0.22999997,90
26,0.44702178,0.9,2.8666666,2.6206896,2.7058823,3.3333333,0.5,0.0125,9,9,9,0.28666666,90
27,0.4273335,0.9,2.4666667,2.6363637,2.1612904,2.6153846,0.5,0.013,9,9,9,0.24666667,90
28,0.4471197,0.9,2.8888888,2.7407408,2.6764705,3.275862,0.5,0.0135,9,9,9,0.28888887,90
29,0.434816,0.9,2.3111112,2.387097,2.3448277,2.2,0.5,0.014,9,9,9,0.23111111,90
30,0.43132818,0.9,2.6444445,2.5625,2.7666667,2.607143,0.5,0.014500001,9,9,9,0.26444444,90
31,0.42802042,0.9,2.5777779,2.5555556,2.5,2.7037036,0.5,0.015000001,9,9,9,0.25777778,90
32,0.4360644,0.9,2.988889,2.5384614,3.04,3.6153846,0.5,0.015500001,9,9,9,0.2988889,90
33,0.5275975,0.9,2.6888888,2.5,2.3157895,3.4230769,0.5,0.016,9,9,9,0.26888886,90
34,0.4789294,0.9,2.8,2.5641026,2.7037036,3.2916667,0.5,0.0165,9,9,9,0.27999997,90
35,0.4558478,0.9,2.6444445,2.7837837,2.2962964,2.8076923,0.5,0.017,9,9,9,0.26444444,90
36,0.444422,0.9,2.4555554,2.4864864,2.1,2.8695652,0.5,0.0175,9,9,9,0.24555553,90
37,0.4662033,0.9,2.6666667,2.4482758,2.6206896,2.90625,0.5,0.018000001,9,9,9,0.26666665,90
38,0.4604824,0.9,2.4777777,2.3157895,2.5384614,2.6538463,0.5,0.0185,9,9,9,0.24777777,90
39,0.43345243,0.9,2.5666666,1.8611112,2.7419355,3.4347825,0.5,0.019000001,9,9,9,0.25666666,90
40,0.43493432,0.9,2.6555555,2.0833333,2.5357144,3.5769231,0.5,0.0195,9,9,9,0.26555553,90
41,0.44836578,0.9,2.9333334,2.7222223,2.7,3.5416667,0.5,0.020000001,9,9,9,0.29333335,90
42,0.4658498,0.9,2.411111,2.53125,2.030303,2.76,0.5,0.0205,9,9,9,0.24111111,90
43,0.43917492,0.9,2.9666667,3.1666667,2.7333333,2.9583333,0.5,0.021000002,9,9,9,0.29666665,90
44,0.47394052,0.9,2.4555554,2.6666667,2.142857,2.5172415,0.5,0.0215,9,9,9,0.24555553,90
45,0.44787788,0.9,2.7444444,2.3428571,3.1538463,2.862069,0.5,0.022000002,9,9,9,0.27444443,90
46,0.4479342,0.9,2.2555556,2.5517242,1.8484849,2.4285715,0.5,0.0225,9,9,9,0.22555555,90
47,0.515201,0.9,2.911111,2.6060605,2.9,3.2962964,0.5,0.023000002,9,9,9,0.2911111,90
48,0.48046818,0.9,2.7555556,2.6785715,2.5588236,3.0714285,0.5,0.023500001,9,9,9,0.27555555,90
49,0.4900183,0.9,2.2333333,2.4814816,2,2.275862,0.5,0.024,9,9,9,0.22333333,90
50,0.4525633,0.9,2.2555556,2,2.2068965,2.7727273,0.5,0.024500001,9,9,9,0.22555555,90
51,0.5552377,0.9,2.7,3.3333333,2.0833333,2.9333334,0.5,0.025,9,9,9,0.27,90
52,0.4572975,0.9,2.588889,2.0285714,3.0384614,2.862069,0.5,0.025500001,9,9,9,0.25888887,90
53,0.4944753,0.9,2.6333334,2.1818182,2.8484848,2.9583333,0.5,0.026,9,9,9,0.26333335,90
54,0.4545723,0.9,2.5555556,2.483871,2.2,3,0.5,0.026500002,9,9,9,0.25555557,90
55,0.4995497,0.9,2.588889,2.8333333,2.1515152,2.851852,0.5,0.027,9,9,9,0.25888887,90
56,0.47725973,0.9,2.3222222,2.060606,2.5428572,2.3636363,0.5,0.027500002,9,9,9,0.23222221,90
57,0.44142738,0.9,2.7333333,2.875,2.5,2.8214285,0.5,0.028,9,9,9,0.2733333,90
58,0.5129943,0.9,2.9,2.3076923,3.5384614,3.16,0.5,0.028500002,9,9,9,0.29,90
59,0.4680707,0.9,2.5333333,2.2941177,2.3793104,3,0.5,0.029000001,9,9,9,0.25333333,90
60,0.52430934,0.9,2.511111,2.3333333,2.5405405,2.6538463,0.5,0.029500002,9,9,9,0.2511111,90
61,0.5117628,0.9,2.1222222,1.862069,2.142857,2.3846154,0.5,0.030000001,9,9,9,0.21222222,90
62,0.4981159,0.9,2.8888888,2.5135136,3.074074,3.2307692,0.5,0.030500002,9,9,9,0.28888887,90
63,0.4573851,0.9,2.911111,2.71875,2.689655,3.3448277,0.5,0.031000001,9,9,9,0.2911111,90
64,0.4720535,0.9,2.1222222,2.0370371,1.8461539,2.6666667,0.5,0.0315,9,9,9,0.21222222,90
65,0.5006463,0.9,2.2,1.9117647,2.6,2.1153846,0.5,0.032,9,9,9,0.22,90
66,0.4662572,0.9,2.511111,2.235294,2.7878788,2.5217392,0.5,0.032500003,9,9,9,0.2511111,90
67,0.4349991,0.9,2.5444446,2.7333333,2.2368422,2.8181818,0.5,0.033,9,9,9,0.25444445,90
68,0.4364836,0.9,2.9444444,2.2571428,3.4814816,3.2857144,0.5,0.0335,9,9,9,0.2944444,90
69,0.4435688,0.9,2.411111,2.451613,1.6896552,3.0666666,0.5,0.034,9,9,9,0.24111111,90
70,0.444908,0.9,2.7666667,2.84375,2.3,3.1785715,0.5,0.034500003,9,9,9,0.27666667,90
71,0.4365414,0.9,2.5222223,2.8387096,1.8,2.9310346,0.5,0.035,9,9,9,0.2522222,90
72,0.4317534,0.9,2.4444444,2.3658535,2.1111112,3,0.5,0.0355,9,9,9,0.24444443,90
73,0.4337732,0.9,2.6666667,2.6666667,2.4666667,2.8666666,0.5,0.036000002,9,9,9,0.26666665,90
74,0.4607641,0.9,2.5444446,2.6,2.0689654,3,0.5,0.036500003,9,9,9,0.25444445,90
75,0.450576,0.9,2.411111,2.0277777,2.72,2.6206896,0.5,0.037,9,9,9,0.24111111,90
76,0.44566917,0.9,2.6333334,1.882353,2.8387096,3.4,0.5,0.0375,9,9,9,0.26333335,90
77,0.4345331,0.9,2.711111,2.375,2.4411764,3.5416667,0.5,0.038000003,9,9,9,0.2711111,90
78,0.435595,0.9,2.6777778,2.3030303,2.4642856,3.310345,0.5,0.038500004,9,9,9,0.26777777,90
79,0.4469462,0.9,2.0444446,2.1875,1.3888888,2.909091,0.5,0.039,9,9,9,0.20444445,90
80,0.4364753,0.9,2.4222221,2,2,3.4074075,0.5,0.0395,9,9,9,0.24222222,90
81,0.44536197,0.9,2.211111,1.6842105,2.1724138,3.1304348,0.5,0.040000003,9,9,9,0.2211111,90
82,0.4389722,0.9,2.488889,2.3214285,2.7142856,2.3703704,0.5,0.0405,9,9,9,0.2488889,90
83,0.4364663,0.9,2.7222223,2.7631578,3,2.36,0.5,0.041,9,9,9,0.27222222,90
84,0.4501127,0.9,2.7777777,2.1666667,3,3.1785715,0.5,0.041500002,9,9,9,0.27777776,90
85,0.4422331,0.9,2.7444444,2.1666667,2.3333333,3.925926,0.5,0.042000003,9,9,9,0.27444443,90
86,0.4355202,0.9,2.4666667,2.4375,1.9666667,3.0357144,0.5,0.0425,9,9,9,0.24666667,90
87,0.46700302,0.9,2.1444445,1.3333334,2.4444444,2.925926,0.5,0.043,9,9,9,0.21444444,90
88,0.49405548,0.9,2.288889,2.451613,1.8333334,2.586207,0.5,0.043500002,9,9,9,0.22888887,90
89,0.5244594,0.9,2.7,2.1,2.8387096,3.7368422,0.5,0.044000003,9,9,9,0.27,90
90,0.5200749,0.9,2.1777778,1.8108108,2.2413793,2.6666667,0.5,0.0445,9,9,9,0.21777777,90
91,0.46900108,0.9,2.4666667,2.6969697,2.0882354,2.6956522,0.5,0.045,9,9,9,0.24666667,90
92,0.4531792,0.9,2.6777778,1.9032258,2.8333333,3.4782608,0.5,0.045500003,9,9,9,0.26777777,90
93,0.45821652,0.9,2.1666667,2.0769231,2.451613,1.969697,0.5,0.046000004,9,9,9,0.21666667,90
94,0.4473581,0.9,2.2666667,2.4571428,1.7096775,2.7083333,0.5,0.0465,9,9,9,0.22666666,90
95,0.4464817,0.9,2.3888888,2.125,2.3030303,2.84,0.5,0.047000002,9,9,9,0.23888887,90
96,0.43385708,0.9,2.2666667,1.9090909,2.8709676,2,0.5,0.047500003,9,9,9,0.22666666,90
97,0.4386319,0.9,2.088889,1.6944444,2.1818182,2.6190476,0.5,0.048,9,9,9,0.20888887,90
98,0.4634712,0.9,2.4666667,2.21875,2.28125,3,0.5,0.0485,9,9,9,0.24666667,90
99,0.4417083,0.9,2.4555554,2.4615386,2.3714285,2.5517242,0.5,0.049000002,9,9,9,0.24555553,90
100,0.44645882,0.9,2.0555556,1.9117647,1.7096775,2.68,0.5,0.049500003,9,9,9,0.20555554,90
101,0.43861732,0.9,1.9666667,1.7575758,1.8235294,2.4782608,0.5,0.05,9,9,9,0.19666667,90
102,0.4401141,0.9,2.2222223,2.09375,2.1935484,2.4074075,0.5,0.0505,9,9,9,0.22222224,90
