iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3
1,0.0020065,9,9,NaN,NaN,1,0.5,0.4,9,9,9
2,0.0017984,9,9,NaN,NaN,1,0.5,0.4,9,9,9
3,0.0016611,9,9,NaN,NaN,1,0.5,0.4,9,9,9
4,0.0017702,9,9,NaN,NaN,1,0.5,0.4,9,9,9
5,0.0020412,9,9,NaN,NaN,1,0.5,0.4,9,9,9
6,0.0024711,8,8,NaN,NaN,1,0.5,0.4,9,9,9
7,0.0020978,9,9,NaN,NaN,1,0.5,0.4,9,9,9
8,0.0017358,9,9,NaN,NaN,1,0.5,0.4,9,9,9
9,0.0016913,8,8,NaN,NaN,1,0.5,0.4,9,9,9
10,0.0017524,9,9,NaN,NaN,1,0.5,0.4,9,9,9
11,0.0017047,8,8,NaN,NaN,1,0.5,0.4,9,9,9
12,0.0169392,8.5,9,8,NaN,2,0.5,0.4,9,9,9
13,0.0162389,9,9,9,NaN,2,0.5,0.4,9,9,9
14,0.0167479,9,9,9,NaN,2,0.5,0.4,9,9,9
15,0.0173089,8,8,8,NaN,2,0.5,0.4,9,9,9
16,0.017472,8.5,9,8,NaN,2,0.5,0.4,9,9,9
17,0.0168725,9,9,9,NaN,2,0.5,0.4,9,9,9
18,0.0164935,8.5,9,8,NaN,2,0.5,0.4,9,9,9
19,0.016438,8,8,8,NaN,2,0.5,0.4,9,9,9
20,0.0160948,8,8,8,NaN,2,0.5,0.4,9,9,9
21,0.0167263,8.5,8,9,NaN,2,0.5,0.4,9,9,9
22,0.0179521,8.666667,8,9,9,3,0.5,0.4,9,9,9
23,0.0170829,8.666667,9,9,8,3,0.5,0.4,9,9,9
24,0.0174332,8,8,8,8,3,0.5,0.4,9,9,9
25,0.0186205,8.666667,9,9,8,3,0.5,0.4,9,9,9
26,0.0196047,8.666667,9,9,8,3,0.5,0.4,9,9,9
27,0.0181946,8.666667,9,8,9,3,0.5,0.4,9,9,9
28,0.0173645,8.333333,8,8,9,3,0.5,0.4,9,9,9
29,0.0179995,9,9,9,9,3,0.5,0.4,9,9,9
30,0.0179023,8.666667,9,9,8,3,0.5,0.4,9,9,9
31,0.0192448,8.666667,9,8,9,3,0.5,0.4,9,9,9
32,0.0198843,8.5,9,8,8,4,0.5,0.4,9,9,9
33,0.0205862,9,9,9,9,4,0.5,0.4,9,9,9
