iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
1,0.002482,8.666667,0,8.5,9,3,0.5,0.4,9,9,9,0.26
2,0.0017083,8.666667,9,0,8,3,0.5,0.4,9,9,9,0.26
3,0.0018736,8.666667,9,8.5,0,3,0.5,0.4,9,9,9,0.26
4,0.0024781,8.666667,0,8,9,3,0.5,0.4,9,9,9,0.26
5,0.0023509,8.75,8,9,9,4,0.5,0.4,9,9,9,0.35
6,0.0024186,8.5,8,8.5,9,4,0.5,0.4,9,9,9,0.34
7,0.002143,8.75,0,9,8.5,4,0.5,0.4,9,9,9,0.35
8,0.0027074,8.4,8,8.5,9,5,0.5,0.4,9,9,9,0.42
9,0.0028317,8.2,8,8,9,5,0.5,0.4,9,9,9,0.41
10,0.002876,8.2,8,9,8,5,0.5,0.4,9,9,9,0.41
11,0.0024755,8.6,8.5,8.666667,0,5,0.5,0.4,9,9,9,0.43000004
12,0.0026681,8.666667,9,8,9,6,0.5,0.4,9,9,9,0.52
13,0.0025621,8.833333,9,9,8.5,6,0.5,0.4,9,9,9,0.53
14,0.002719,8.833333,9,9,8.5,6,0.5,0.4,9,9,9,0.53
15,0.0029413,8.428572,8,8.666667,8.333333,7,0.5,0.4,9,9,9,0.59000003
16,0.0029187,8.428572,8.666667,8.5,8,7,0.5,0.4,9,9,9,0.59000003
17,0.0029329,8.857142,9,8.5,9,7,0.5,0.4,9,9,9,0.61999995
18,0.0035415,8.75,9,8.5,9,8,0.5,0.4,9,9,9,0.7
19,0.0039892,8.625,8.666667,9,8,8,0.5,0.4,9,9,9,0.69
20,0.0031992,8.5,8.5,8.5,8.5,8,0.5,0.4,9,9,9,0.68
21,0.0031021,8.625,9,8.5,8.5,8,0.5,0.4,9,9,9,0.69
22,0.0039072,8.444445,8.333333,8.25,9,9,0.5,0.4,9,9,9,0.76000005
23,0.0037702,8.555555,8.666667,8.25,9,9,0.5,0.4,9,9,9,0.77000004
24,0.0033456,8.444445,8.75,8.333333,8,9,0.5,0.4,9,9,9,0.76000005
25,0.0041583,8.5,8.333333,8.5,8.666667,10,0.5,0.4,9,9,9,0.85
26,0.0031654,8.5,8.5,8.666667,8.333333,10,0.5,0.4,9,9,9,0.85
27,0.0032332,8.8,9,8.333333,9,10,0.5,0.4,9,9,9,0.88000005
28,0.0038636,8.727273,9,8.5,8.666667,11,0.5,0.4,9,9,9,0.96000004
29,0.0037995,8.909091,8.75,9,9,11,0.5,0.4,9,9,9,0.98
30,0.0032385,8.636364,8.75,8.666667,8.5,11,0.5,0.4,9,9,9,0.95000005
31,0.0038153,8.545455,8.5,8.5,8.666667,11,0.5,0.4,9,9,9,0.94000006
32,0.0045769,8.583333,8.666667,8.6,8.5,12,0.5,0.4,9,9,9,1.03
33,0.0031557,8.5,8.5,8.5,8.5,12,0.5,0.4,9,9,9,1.02
34,0.004049,8.583333,9,8.5,8.4,12,0.5,0.4,9,9,9,1.03
35,0.0039297,8.615385,8.4,8.75,8.75,13,0.5,0.4,9,9,9,1.12
36,0.0039471,8.769231,8.8,9,8.666667,13,0.5,0.4,9,9,9,1.14
37,0.0035898,8.538462,8.6,8.333333,8.6,13,0.5,0.4,9,9,9,1.11
