iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.0033753,0.03,8.333333,8.5,8,0,0.5,0.4,9,9,9,0.24999999,3
2,0.0020247,0.03,8.333333,8,8,9,0.5,0.4,9,9,9,0.24999999,3
3,0.0027489,0.03,8.333333,8,9,8,0.5,0.4,9,9,9,0.24999999,3
4,0.0023512,0.03,8.666667,9,8,0,0.5,0.4,9,9,9,0.26,3
5,0.0030311,0.03,8.666667,9,8,9,0.5,0.4,9,9,9,0.26,3
6,0.0026354,0.03,8.333333,8,9,8,0.5,0.4,9,9,9,0.24999999,3
7,0.0032925,0.03,8.666667,9,8,0,0.5,0.4,9,9,9,0.26,3
8,0.0022602,0.04,8.25,9,8,8,0.5,0.4,9,9,9,0.32999998,4
9,0.0026521,0.04,8.5,8.5,9,8,0.5,0.4,9,9,9,0.34,4
10,0.0033303,0.04,8.25,8,9,8,0.5,0.4,9,9,9,0.32999998,4
11,0.0025702,0.04,8.25,8,0,8.333333,0.5,0.4,9,9,9,0.32999998,4
12,0.0031184,0.04,8.5,8,9,9,0.5,0.4,9,9,9,0.34,4
13,0.002058,0.04,8.25,8,8,9,0.5,0.4,9,9,9,0.32999998,4
14,0.0029143,0.04,8.5,9,9,8,0.5,0.4,9,9,9,0.34,4
15,0.0030812,0.05,8.2,8,9,8,0.5,0.4,9,9,9,0.41,5
16,0.0032645,0.05,8.2,8,8.5,8,0.5,0.4,9,9,9,0.41,5
17,0.0038179,0.05,8.6,9,8,9,0.5,0.4,9,9,9,0.43000004,5
18,0.0027409,0.05,8.8,9,8,9,0.5,0.4,9,9,9,0.44000003,5
19,0.0040468,0.05,8.2,8,8.5,8,0.5,0.4,9,9,9,0.41,5
20,0.0042758,0.05,8.8,9,9,8,0.5,0.4,9,9,9,0.44000003,5
21,0.0035681,0.05,8.8,8.5,9,0,0.5,0.4,9,9,9,0.44000003,5
22,0.0027864,0.06,8.5,8,8.666667,9,0.5,0.4,9,9,9,0.51,6
23,0.0035994,0.06,8.333333,8,8.5,8.5,0.5,0.4,9,9,9,0.49999997,6
24,0.0031881,0.06,8.833333,9,8.5,9,0.5,0.4,9,9,9,0.53,6
25,0.0025507,0.06,8.333333,8.333333,8,9,0.5,0.4,9,9,9,0.49999997,6
