iteration;time;average_speed;average_speed_lane_0;average_speed_lane_1;average_speed_lane_2;vehicle_count
1;9034;20833334;0;625;0;48
2;20837;41666668;0;625;625;48
3;37545;125;625;125;1875;48
4;55603;20833333;1875;125;3125;48
5;64916;27083334;25;125;4375;48
6;72536;41666666;4;3529412;5;48
7;85141;5833333;6;5555556;6;48
8;93045;7916667;64285713;84210527;8666667;48
9;100715;9791667;78571427;94736844;12;48
10;112993;12083334;125;10588236;13333334;48
11;120182;14375;15;11875;1625;48
12;132942;15416666;16875;13529412;16;48
13;141274;18541666;19375;17777778;18571428;48
14;150718;21458333;23125;20588236;20666666;48
15;161577;23958333;24117646;24666667;23125;48
16;170282;25625;24117646;26875;26;48
17;183078;25208333;25333333;23333333;28333333;48
18;190826;25416667;27333333;19523809;33333333;48
19;201521;25833333;26666667;1882353;33846154;48
20;21437;25;27777777;15294118;33846154;48
21;227479;25833333;31764705;15;33076923;48
22;234665;27083333;325;19;33333333;48
23;244607;26875;325;18947369;31538463;48
24;254694;26458333;28666666;21052632;3142857;48
25;268102;26041667;27333333;22105262;3;48
26;276218;23958333;2857143;19;2642857;48
27;284962;225;25714285;175;2642857;48
28;292363;23333333;31538463;20434783;2;48
29;301274;23333333;35625;18;15833334;48
30;312897;23125;31764705;19444444;16923077;48
31;326016;225;26666667;19333333;20666666;48
32;338396;21041667;23333333;195;2;48
33;348913;20416667;18125;17142857;3;48
34;356492;23541667;20555556;20952382;35555556;48
35;367384;23541667;20555556;19047619;4;48
36;388293;24166667;19545455;21176472;4111111;48
37;402045;24791667;16818181;23529413;46666665;48
38;412602;23333333;13181819;1875;53;48
39;420877;24375;18;2;42727275;48
40;431792;26666667;16842105;27368422;44;48
41;440773;26041667;17894737;245;46666665;48
42;44863;25833333;16842105;24444444;43636365;48
43;458031;26458333;16315789;28333333;4090909;48
44;468386;2875;22105262;25789473;47;48
45;479144;30416667;25;22777777;5;48
46;488442;28958333;255;2625;38333333;48
47;49675;29375;24782608;29166667;37692308;48
48;503987;27916667;235;32666667;29230769;48
49;511055;26041667;255;30769231;22666667;48
50;518061;24583333;2;31052632;20769231;48
51;525031;22916667;24210527;23333333;2;48
52;538823;2625;24761906;28333333;25555556;48
53;558658;26458333;2;295;32;48
54;569421;28333333;23157895;26111112;4090909;48
55;5791;2375;21666667;21578948;3090909;48
56;587967;2125;16111112;24736843;23636363;48
57;600245;21875;2;24;20833333;48
58;607629;225;21875;2;25625;48
59;6163;21666667;22142856;20555556;225;48
60;623543;22083333;22307692;22380953;2142857;48
61;631965;22708333;25384614;21363637;22307692;48
62;638979;24166667;27142856;19090909;3;48
63;646663;2375;26666667;19523809;275;48
64;655576;24375;28666666;16666666;325;48
65;662365;24166667;25882354;17647059;3;48
66;672267;22083333;21052632;23529413;21666667;48
67;678915;23333333;2;225;31;48
68;685442;23125;17058823;22;34545455;48
69;693271;26458333;19;25294118;4181818;48
70;70481695;275;19523809;3;38333333;48
71;717041;3;21578948;31875;4;48
72;726519;28958333;18571428;39333334;34166667;48
73;7479;27708333;19473684;29444444;3909091;48
74;759278;28333333;215;2357143;4285714;48
75;76971695;30208333;24;27857144;4142857;48
76;777079;275;22105262;31333334;30714285;48
77;7856809;27083333;24736843;2875;28461537;48
78;79450704;24375;23888888;24705882;24615386;48
79;8017489;2875;2625;31176472;28666666;48
80;8127031;3;3142857;31818182;25;48
81;821506;30208333;37142856;268;28888888;48
82;82924895;29791667;36470587;2142857;36;48
83;836023;30416667;34705882;22916667;4571429;48
84;8441009;3125;35238094;2;5142857;48
85;852626;32916667;32727273;23529413;5111111;48
86;860077;32083333;27619047;25294118;53;48
87;86858705;31458333;26666667;26;46666665;48
88;88215105;2875;21818182;27857144;425;48
89;89714;27916667;20555556;28947368;38181818;48
90;9116089;2625;225;23157895;35384614;48
91;9203111;2625;30714285;2375;26;48
92;928557;2625;3235294;22105262;24166667;48
93;935987;27083333;27368422;26;27857144;48
94;944054;27291667;24117646;26;31875;48
95;951944;275;28888888;23125;30714285;48
96;961978;25625;195;23333333;37692308;48
97;968882;27083333;16190476;31538463;39285715;48
98;97745;28333333;17368422;3235294;4;48
99;984771;2875;175;295;425;48
100;991724;25208333;18666667;22;37692308;48
