iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
1	0.0013983	0.0625	0.0625	0.0625	0.0625	48
2	0.0030201	0.125	0.125	0.1875	0.0625	48
3	0.0038402	0.20833333	0.1875	0.3125	0.125	48
4	0.0047918	0.35416666	0.33333334	0.47058824	0.25	48
5	0.0055921	0.5	0.6	0.5294118	0.375	48
6	0.0064021	0.625	0.8	0.64705884	0.4375	48
7	0.0071712	0.7916667	0.9375	0.7647059	0.6666667	48
8	0.0080253	0.9791667	0.9375	0.75	1.25	48
9	0.0097403	1.125	1.25	0.75	1.375	48
10	0.0107054	1.4375	1.5294118	1.2666667	1.5	48
11	0.0115141	1.5625	1.5294118	1.4	1.75	48
12	0.0125036	1.8541666	1.8235294	1.6	2.125	48
13	0.0133007	2.0208333	2.0625	1.5625	2.4375	48
14	0.0141467	2.4166667	2.6923077	1.8421053	2.875	48
15	0.0155674	2.6458333	3.2142856	1.9411764	2.8823528	48
16	0.0166828	2.7291667	3	2.8235295	2.4117646	48
17	0.0176436	2.625	2.4615386	2.8333333	2.5294118	48
18	0.0187458	2.6666667	2.7857144	3.0555556	2.125	48
19	0.0195848	2.4583333	2.6470587	2.5	2.235294	48
20	0.0206503	2.4583333	2.4166667	2.7894738	2.1176472	48
21	0.0214464	2.25	2.0769231	2.6842105	1.875	48
22	0.0222854	2.1458333	1.882353	2.8	1.8125	48
23	0.0229624	2.3333333	1.5882353	3.7142856	1.9411764	48
24	0.0237815	2.5833333	2	3.4666667	2.3529413	48
25	0.0248912	2.4166667	2.0625	2.9333334	2.2941177	48
26	0.0258466	2.2083333	1.7647059	3.125	1.7333333	48
27	0.0266421	2.1875	1.8947369	3.0714285	1.7333333	48
28	0.0274776	2.0208333	1.7368422	2.6666667	1.7142857	48
29	0.0284045	2.2291667	2	2.7333333	2	48
30	0.0294266	2.1875	1.6470588	2.5882354	2.357143	48
31	0.0300251	2.1041667	1.7894737	2.375	2.2307692	48
32	0.0310598	2.3958333	2.1666667	2.5294118	2.5384614	48
33	0.0324494	2.2291667	2.1052632	1.7333333	2.9285715	48
