iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.0187718,9,9,9,9,3
2,0.0263673,8.833333,9,8,9,6
3,0.0352079,8.777778,8.75,8.5,9,9
4,0.039991,9,9,9,9,12
5,0.0534217,8.6,8.4,8.75,8.666667,15
6,0.0573427,8.166667,7,8,8.875,18
7,0.0712032,6.3333335,5.6,5.9,7.6666665,21
8,0.0761687,4.5416665,5.090909,3.7142856,4.5,24
9,0.0925598,4.0740743,4.7272725,3.4444444,3.857143,27
10,0.09970649,3.9,3.3333333,4,4.5555553,30
11,0.113818094,3.4545455,3,2.4285715,5.5555553,33
12,0.1377928,4.0277777,4.230769,4.090909,3.75,36
13,0.1531847,3.1794872,4.071429,3.6666667,1.7692307,39
14,0.168204,3.357143,2.9333334,2.4375,5.2727275,42
15,0.19852911,2.6888888,2.8235295,2.0666666,3.2307692,45
16,0.2065688,3.2291667,3.0625,3.7222223,2.7857144,48
17,0.23026769,2.4705882,2.1578948,3.0588236,2.2,51
18,0.2512215,2.5925925,2.5789473,2.8947368,2.25,54
19,0.2849647,2.6842105,2.7777777,2.36,3.142857,57
20,0.3038397,2.8333333,2.952381,2.95,2.5789473,60
21,0.3332751,1.968254,2,1.6923077,2.4,63
22,0.3560087,2.1060605,2.0454545,1.875,2.45,66
23,0.37953958,1.7971015,1.5416666,1.5384616,2.4736843,69
24,0.4003893,1.8194444,1.1111112,2.125,2.3809524,72
25,0.437488,1.9066666,2,1.3214285,2.7058823,75
26,0.4708976,1.6538461,1.3461539,1.8181819,1.8,78
27,0.4920246,1.7283951,1.4,2,1.8181819,81
28,0.5304919,1.4642857,1.36,1.7272727,1.2307693,84
29,0.5723479,1.5402299,1.4411764,1.5172414,1.7083334,87
30,0.62421954,1.4444444,1.46875,1.3636364,1.52,90
31,0.6318489,1.344086,1.5454545,1.1351352,1.3913044,93
32,0.6712129,1.3645834,1.5333333,1.3142858,1.2580645,96
33,0.7205428,1.3333334,1.5,1.4722222,1,99
34,0.7644595,1.3921568,1.7096775,0.9047619,1.7586207,102
35,0.7967245,1.3238095,1.2857143,1.2307693,1.483871,105
36,0.8308771,1.2592592,1.3243244,1.1190476,1.3793104,108
37,0.8853479,1.3243244,1.2894737,1.1904762,1.548387,111
38,0.94208765,1.122807,1.1025641,1.175,1.0857143,114
39,0.9724354,1.1111112,1.0526316,1.2564102,1.025,117
40,1.038749,1.2416667,0.8333333,1.5789474,1.4411764,120
41,1.0973953,1.0731708,1.1702127,0.9268293,1.1142857,123
42,1.1310103,0.93650794,0.70454544,1.0196079,1.1290323,126
43,1.2705908,0.86821705,0.84444445,0.7234042,1.081081,129
44,1.2599223,0.92424244,0.7291667,0.8627451,1.3030303,132
45,1.2984211,0.8740741,0.7291667,0.877551,1.0526316,135
46,1.3459301,0.76086956,0.53846157,0.627451,1.2857143,138
47,1.4394429,0.82978725,0.8,0.7307692,0.97727275,141
48,1.5141728,0.8194444,0.7169811,0.8301887,0.94736844,144
49,1.5038898,0.6258503,0.5740741,0.5535714,0.8108108,147
